id,plankton_density,sea_surface_temperature,salinity,location_id,observation_notes,collection_date
1,52.5,28.4,35.7,1,No Observation,2024-05-01
2,48.9,27.3,33.8,2,No Observation,2024-05-01
3,54.1,25.6,36.9,3,No Observation,2024-05-01
4,45.2,30.2,34.3,4,No Observation,2024-05-01
5,50.7,29.1,34.0,5,No Observation,2024-05-01
6,49.3,27.9,35.2,6,No Observation,2024-05-01
7,53.8,26.5,36.1,7,No Observation,2024-05-01
8,46.5,31.0,33.7,8,No Observation,2024-05-01
9,51.0,28.6,35.5,9,No Observation,2024-05-01
10,47.8,27.7,34.8,10,No Observation,2024-05-01
11,52.3,29.5,36.3,11,No Observation,2024-05-01
12,44.6,30.8,33.9,12,No Observation,2024-05-01
13,49.0,28.2,35.0,13,No Observation,2024-05-01
14,50.4,26.9,34.5,14,No Observation,2024-05-01
15,47.2,30.4,35.8,15,No Observation,2024-05-01
16,53.1,25.8,36.6,16,No Observation,2024-05-01
17,46.8,28.7,34.1,17,No Observation,2024-05-01
18,48.6,30.1,35.9,18,No Observation,2024-05-01
19,51.9,27.1,36.0,19,No Observation,2024-05-01
20,50.1,28.5,34.7,20,No Observation,2024-05-01
21,47.7,29.2,33.5,21,No Observation,2024-05-01
22,53.5,25.4,35.1,22,No Observation,2024-05-01
23,45.1,30.0,34.4,23,No Observation,2024-05-01
24,49.9,26.8,36.7,24,No Observation,2024-05-01
25,50.6,29.9,34.9,25,No Observation,2024-05-01
26,46.3,27.0,33.2,26,No Observation,2024-05-01
27,52.7,29.6,36.5,27,No Observation,2024-05-01
28,48.4,27.8,35.3,28,No Observation,2024-05-01
29,51.2,30.3,34.2,29,No Observation,2024-05-01
30,44.8,25.7,33.6,30,No Observation,2024-05-01
31,53.0,26.4,36.4,31,No Observation,2024-05-01
32,49.6,29.7,35.4,32,No Observation,2024-05-01
33,47.0,28.8,34.6,33,No Observation,2024-05-01
34,50.3,27.6,35.0,34,No Observation,2024-05-01
35,45.5,30.9,36.2,35,No Observation,2024-05-01
36,52.9,28.1,35.6,36,No Observation,2024-05-01
37,49.1,26.1,34.8,37,No Observation,2024-05-01
38,48.2,30.5,36.1,38,No Observation,2024-05-01
39,51.5,27.4,33.4,39,No Observation,2024-05-01
40,50.0,29.8,36.8,40,No Observation,2024-05-01
41,46.1,28.9,34.0,41,No Observation,2024-05-01
42,52.0,26.3,35.9,42,No Observation,2024-05-01
43,47.9,30.6,34.9,43,No Observation,2024-05-01
44,49.8,25.9,33.7,44,No Observation,2024-05-01
45,51.8,27.5,35.1,45,No Observation,2024-05-01
46,45.7,29.3,36.4,46,No Observation,2024-05-01
47,53.4,30.7,35.3,47,No Observation,2024-05-01
48,49.4,26.6,34.3,48,No Observation,2024-05-01
49,48.1,28.0,35.2,49,No Observation,2024-05-01
50,50.9,29.4,36.6,50,No Observation,2024-05-01
51,44.9,30.9,33.5,51,No Observation,2024-05-01
52,51.1,27.2,35.4,52,No Observation,2024-05-01
53,46.7,29.6,34.7,53,No Observation,2024-05-01
54,52.2,28.9,36.2,54,No Observation,2024-05-01
55,48.8,26.7,34.1,55,No Observation,2024-05-01
56,50.5,30.0,36.5,56,No Observation,2024-05-01
57,46.0,29.1,35.7,57,No Observation,2024-05-01
58,52.8,27.3,35.6,58,No Observation,2024-05-01
59,49.5,26.2,33.9,59,No Observation,2024-05-01
60,47.4,30.1,36.9,60,No Observation,2024-05-01
61,51.3,28.3,34.2,61,No Observation,2024-05-01
62,50.2,29.5,36.1,62,No Observation,2024-05-01
63,45.6,28.4,34.0,63,No Observation,2024-05-01
64,53.2,26.0,35.8,64,No Observation,2024-05-01
65,49.2,30.3,35.5,65,No Observation,2024-05-01
66,48.3,27.9,33.8,66,No Observation,2024-05-01
67,50.8,29.0,36.0,67,No Observation,2024-05-01
68,44.7,30.4,34.4,68,No Observation,2024-05-01
69,51.6,27.7,34.6,69,No Observation,2024-05-01
70,46.9,29.8,36.3,70,No Observation,2024-05-01
71,52.1,26.5,33.6,71,No Observation,2024-05-01
72,48.5,28.6,34.5,72,No Observation,2024-05-01
73,49.7,30.2,36.7,73,No Observation,2024-05-01
74,47.6,27.1,35.7,74,No Observation,2024-05-01
75,50.7,28.8,34.3,75,No Observation,2024-05-01
76,45.3,30.5,35.9,76,No Observation,2024-05-01
77,53.6,26.7,34.9,77,No Observation,2024-05-01
78,49.0,29.4,35.0,78,No Observation,2024-05-01
79,48.7,28.2,36.6,79,No Observation,2024-05-01
80,51.4,30.7,34.7,80,No Observation,2024-05-01
81,44.5,27.0,33.4,81,No Observation,2024-05-01
82,50.9,26.9,36.5,82,No Observation,2024-05-01
83,47.1,30.6,34.8,83,No Observation,2024-05-01
84,52.4,27.8,36.4,84,No Observation,2024-05-01
85,46.2,29.7,35.6,85,No Observation,2024-05-01
86,50.4,28.1,34.1,86,No Observation,2024-05-01
87,48.0,26.3,36.3,87,No Observation,2024-05-01
88,53.3,30.8,35.2,88,No Observation,2024-05-01
89,49.9,28.5,33.5,89,No Observation,2024-05-01
90,47.3,27.4,34.9,90,No Observation,2024-05-01
91,50.6,29.9,36.8,91,No Observation,2024-05-01
92,45.9,28.7,34.0,92,No Observation,2024-05-01
93,51.7,26.1,35.3,93,No Observation,2024-05-01
94,49.3,30.0,36.2,94,No Observation,2024-05-01
95,48.9,27.5,34.6,95,No Observation,2024-05-01
96,50.1,28.9,36.7,96,No Observation,2024-05-01
97,45.4,29.3,33.9,97,No Observation,2024-05-01
98,52.6,30.2,35.1,98,No Observation,2024-05-01
99,47.5,26.8,34.5,99,No Observation,2024-05-01
100,50.2,29.6,36.0,100,No Observation,2024-05-01
101,52.5,28.4,35.7,1,Clear day,2023-01-01
102,48.9,27.3,33.8,2,Cloudy conditions,2023-01-02
103,54.1,25.6,36.9,3,High plankton activity,2023-01-03
104,45.2,30.2,34.3,4,Calm seas,2023-01-04
105,50.7,29.1,34.0,5,Data verified,2023-01-05
106,49.3,27.9,35.2,6,Storm nearby,2023-01-06
107,53.8,26.5,36.1,7,Equipment calibrated,2023-01-07
108,46.5,31.0,33.7,8,High winds,2023-01-08
109,51.0,28.6,35.5,9,Sunny,2023-01-09
110,47.8,27.7,34.8,10,Low visibility,2023-01-10
111,52.3,29.5,36.3,11,Routine check,2023-01-11
112,44.6,30.8,33.9,12,Data anomaly observed,2023-01-12
113,49.0,28.2,35.0,13,Clear day,2023-01-13
114,50.4,26.9,34.5,14,Overcast,2023-01-14
115,47.2,30.4,35.8,15,Calibration needed,2023-01-15
116,53.1,25.8,36.6,16,High plankton activity,2023-01-16
117,46.8,28.7,34.1,17,Clear day,2023-01-17
118,48.6,30.1,35.9,18,Cloudy conditions,2023-01-18
119,51.9,27.1,36.0,19,Routine maintenance,2023-01-19
120,50.1,28.5,34.7,20,Data verified,2023-01-20
121,47.7,29.2,33.5,21,Storm nearby,2023-01-21
122,53.5,25.4,35.1,22,High winds,2023-01-22
123,45.1,30.0,34.4,23,Sunny,2023-01-23
124,49.9,26.8,36.7,24,Low visibility,2023-01-24
125,50.6,29.9,34.9,25,Equipment calibrated,2023-01-25
126,46.3,27.0,33.2,26,Data anomaly observed,2023-01-26
127,52.7,29.6,36.5,27,Calibration needed,2023-01-27
128,48.4,27.8,35.3,28,Clear day,2023-01-28
129,51.2,30.3,34.2,29,Cloudy conditions,2023-01-29
130,44.8,25.7,33.6,30,High plankton activity,2023-01-30
131,53.0,26.4,36.4,31,Routine check,2023-01-31
132,49.6,29.7,35.4,32,Overcast,2023-02-01
133,47.0,28.8,34.6,33,Calm seas,2023-02-02
134,50.3,27.6,35.0,34,Data verified,2023-02-03
135,45.5,30.9,36.2,35,High winds,2023-02-04
136,52.9,28.1,35.6,36,Sunny,2023-02-05
137,49.1,26.1,34.8,37,Low visibility,2023-02-06
138,48.2,30.5,36.1,38,Storm nearby,2023-02-07
139,51.5,27.4,33.4,39,Equipment calibrated,2023-02-08
140,50.0,29.8,36.8,40,Calibration needed,2023-02-09
141,46.1,28.9,34.0,41,Clear day,2023-02-10
142,52.0,26.3,35.9,42,Cloudy conditions,2023-02-11
143,47.9,30.6,34.9,43,High plankton activity,2023-02-12
144,49.8,25.9,33.7,44,Data anomaly observed,2023-02-13
145,51.8,27.5,35.1,45,Routine check,2023-02-14
146,45.7,29.3,36.4,46,Overcast,2023-02-15
147,53.4,30.7,35.3,47,Calm seas,2023-02-16
148,49.4,26.6,34.3,48,Data verified,2023-02-17
149,48.1,28.0,35.2,49,Storm nearby,2023-02-18
150,50.9,29.4,36.6,50,High winds,2023-02-19
151,44.9,30.9,33.5,51,Sunny,2023-02-20
152,51.1,27.2,35.4,52,Low visibility,2023-02-21
153,46.7,29.6,34.7,53,Equipment calibrated,2023-02-22
154,52.2,28.9,36.2,54,Calibration needed,2023-02-23
155,48.8,26.7,34.1,55,Clear day,2023-02-24
156,50.5,30.0,36.5,56,Cloudy conditions,2023-02-25
157,46.0,29.1,35.7,57,High plankton activity,2023-02-26
158,52.8,27.3,35.6,58,Data anomaly observed,2023-02-27
159,49.5,26.2,33.9,59,Routine check,2023-02-28
160,47.4,30.1,36.9,60,Overcast,2023-03-01
161,51.3,28.3,34.2,61,Calm seas,2023-03-02
162,50.2,29.5,36.1,62,Data verified,2023-03-03
163,45.6,28.4,34.0,63,Storm nearby,2023-03-04
164,53.2,26.0,35.8,64,High winds,2023-03-05
165,49.2,30.3,35.5,65,Sunny,2023-03-06
166,48.3,27.9,33.8,66,Low visibility,2023-03-07
167,50.8,29.0,36.0,67,Equipment calibrated,2023-03-08
168,44.7,30.4,34.4,68,Calibration needed,2023-03-09
169,51.6,27.7,34.6,69,Clear day,2023-03-10
170,46.9,29.8,36.3,70,Cloudy conditions,2023-03-11
171,52.1,26.5,33.6,71,High plankton activity,2023-03-12
172,48.5,28.6,34.5,72,Data anomaly observed,2023-03-13
173,49.7,30.2,36.7,73,Routine check,2023-03-14
174,47.6,27.1,35.7,74,Overcast,2023-03-15
175,50.7,28.8,34.3,75,Calm seas,2023-03-16
176,45.3,30.5,35.9,76,Data verified,2023-03-17
177,53.6,26.7,34.9,77,Storm nearby,2023-03-18
178,49.0,29.4,35.0,78,High winds,2023-03-19
179,48.7,28.2,36.6,79,Sunny,2023-03-20
180,51.4,30.7,34.7,80,Low visibility,2023-03-21
181,44.5,27.0,33.4,81,Equipment calibrated,2023-03-22
182,50.9,26.9,36.5,82,Calibration needed,2023-03-23
183,47.1,30.6,34.8,83,Clear day,2023-03-24
184,52.4,27.8,36.4,84,Cloudy conditions,2023-03-25
185,46.2,29.7,35.6,85,High plankton activity,2023-03-26
186,50.4,28.1,34.1,86,Data anomaly observed,2023-03-27
187,48.0,26.3,36.3,87,Routine check,2023-03-28
188,53.3,30.8,35.2,88,Overcast,2023-03-29
189,49.9,28.5,33.5,89,Calm seas,2023-03-30
190,47.3,27.4,34.9,90,Data verified,2023-03-31
191,50.6,29.9,36.8,91,Storm nearby,2023-04-01
192,45.9,28.7,34.0,92,High winds,2023-04-02
193,51.7,26.1,35.3,93,Sunny,2023-04-03
194,49.3,30.0,36.2,94,Low visibility,2023-04-04
195,48.9,27.5,34.6,95,Equipment calibrated,2023-04-05
196,50.1,28.9,36.7,96,Calibration needed,2023-04-06
197,45.4,29.3,33.9,97,Clear day,2023-04-07
198,52.6,30.2,35.1,98,Cloudy conditions,2023-04-08
199,47.5,26.8,34.5,99,High plankton activity,2023-04-09
200,50.2,29.6,36.0,100,Data anomaly observed,2023-04-10
